year,sido_cd,spot_nm,bjd_cd,lat,lon,occrrnc_cnt,caslt_cnt,dth_cnt,se_cnt,sl_cnt,wnd_cnt
2017,27,대구광역시 남구 대명동(대덕장 인근),2720010300,35.852589987878794,128.58341684727273,32,48,0,8,36,4
2017,27,대구광역시 남구 대명동(안지랑네거리 인근),2720010300,35.839062992727264,128.5768048460606,29,38,1,6,28,3
2017,27,대구광역시 북구 산격동(경대교서편 인근),2723011100,35.88632798909091,128.6008288460606,35,63,0,15,45,3
2017,27,대구광역시 북구 매천동(대구병원 인근),2723012700,35.91356499030303,128.5485188436364,34,49,0,11,33,5
2017,27,대구광역시 북구 태전동(공원네거리 인근),2723012600,35.92562499090909,128.54735984606063,31,48,0,18,30,0
2017,27,대구광역시 수성구 지산동(황금네거리 인근),2726011200,35.83981799060607,128.6239148442424,45,71,0,17,49,5
2017,27,대구광역시 수성구 범어동(범어네거리 인근),2726010100,35.85912298848485,128.62629784606057,33,46,0,13,29,4
2017,27,대구광역시 수성구 수성동4가(대구은행네거리 인근),2726010600,35.85979698969695,128.61415384666668,32,49,1,7,36,5
2017,27,대구광역시 달서구 감삼동(죽전네거리 인근),2729011300,35.85018499030303,128.53727784666668,42,57,0,14,38,5
2017,27,대구광역시 달서구 진천동(상인네거리 인근),2729011700,35.81901698848485,128.53791584606057,41,51,0,12,35,4
2017,27,대구광역시 달서구 감삼동(용산네거리 인근),2729011300,35.849468988484844,128.53075084363635,36,63,0,11,48,4
2017,27,대구광역시 달성군 논공읍(회원새마을금고 인근),2771025300,35.80340063575757,128.49796290242423,17,24,1,4,19,0
2017,27,대구광역시 달성군 다사읍(다산중고교입구 인근),2771025600,35.86039098848486,128.4627168460606,13,15,0,5,9,1
2017,27,대구광역시 달성군 옥포면(해성빌라 인근),2771034000,35.80477717939394,128.50139609848483,13,16,0,4,9,3
2017,28,인천광역시 중구 신흥동3가(수인사거리 인근),2811012800,37.46494024181819,126.63399790727277,11,19,0,5,11,3
2017,28,인천광역시 중구 운서동(넙디로시점 인근),2811014700,37.48618635515151,126.5059088530303,9,17,2,4,8,3
2017,28,인천광역시 중구 용동(경동사거리 인근),2811013500,37.47251855454545,126.62913612666668,8,13,0,3,10,0
2017,28,인천광역시 동구 송림동(송림오거리 인근),2814010700,37.47591320909091,126.64467284363634,10,15,0,5,9,1
2017,28,인천광역시 동구 화평동(송현삼거리1 인근),2814010400,37.47766517848485,126.63233631363633,10,13,0,2,8,3
2017,28,인천광역시 동구 송림동(산업용품센터사거리 인근),2814010700,37.482697803939395,126.65892981242426,7,19,0,0,19,0
2017,28,인천광역시 남구 주안동(용일사거리 인근),2817010600,37.45227220969698,126.6675170960606,29,43,1,8,32,2
