key,road_class,n_roads,max_lanes,maxspeed
33.2532,126.56109,secondary,19,,
33.24761,126.56198,secondary,17,2,
33.24863,126.56781,secondary,15,2,
37.57486,126.97721,primary,19,4,50
37.57302,127.01568,primary,24,3,60
37.57066,127.00943,primary,34,6,60
37.56447,126.97812,primary,29,8,60
37.53304,127.00707,primary,24,2,
37.53413,126.98797,primary,17,,
37.54424,127.0352,primary,22,4,
37.55148,127.04466,trunk,30,6,80
37.55649,127.07915,primary,18,5,
37.53675,127.0843,primary,43,4,50
37.57896,127.04135,primary,21,4,60
37.57172,127.07142,secondary,15,,
37.58131,127.08042,primary,17,,50
37.5807,127.08852,secondary,35,,
37.5992,127.10044,primary,33,5,
37.60297,127.02488,trunk,15,6,70
37.60385,127.03216,trunk,26,8,70
37.59268,127.01653,primary,33,6,
37.65671,127.03956,primary,14,4,30
37.65136,127.03638,primary,26,8,
37.66393,127.04275,primary,10,6,
37.61767,127.07571,trunk,22,4,70
37.64551,127.05694,trunk,17,6,
37.65478,127.06045,primary,20,8,50
37.59011,126.91726,secondary,25,,
37.61126,126.9173,primary,26,6,50
37.56635,126.96619,primary,32,8,60
37.55913,126.94207,secondary,31,,30
37.55521,126.9216,primary,17,6,
37.5413,126.94834,primary,15,5,
37.52112,126.85292,secondary,16,6,
37.55575,126.85272,primary,17,8,60
37.50785,126.88652,primary,12,,
37.49754,126.89174,primary,10,,
37.49441,126.84014,primary,21,,
37.47863,126.88899,primary,13,4,60
37.51877,126.91357,primary,26,8,
37.53537,126.89901,primary,15,,
37.51397,126.95634,trunk,13,4,80
37.50345,126.9482,primary,25,6,
37.48493,126.92966,primary,27,6,60
37.47834,126.95854,primary,19,6,60
37.46163,127.0373,trunk,13,3,50
37.50501,127.00113,primary,28,4,
37.48736,127.10173,primary,10,8,60
37.51613,127.0196,primary,23,8,
37.51892,127.0285,primary,28,6,
37.50522,127.10724,primary,32,6,50
37.51328,127.10023,primary,26,6,
37.53853,127.12404,primary,26,7,
37.5355,127.13366,primary,17,2,
35.09712,129.02575,primary,23,8,
35.11211,129.02145,secondary,17,,
35.11006,129.01796,primary,17,,
35.13796,129.0594,secondary,16,,
35.13276,129.053,trunk,23,4,
35.11929,129.042,primary,25,3,
35.09265,129.03837,secondary,17,6,
35.07546,129.06822,secondary,7,2,
35.15449,129.0592,primary,20,4,30
35.20407,129.07886,trunk,33,10,80
35.19834,129.09678,primary,17,,
35.13592,129.09184,secondary,21,3,
35.13689,129.06808,trunk,26,2,60
35.23474,129.01221,trunk,9,,
35.21141,129.01073,primary,17,,30
35.17161,129.17521,secondary,18,6,
35.10014,128.99324,primary,9,6,
35.08763,129.00429,trunk,17,8,
35.23119,129.08657,tertiary,11,,30
35.08902,128.88201,secondary,6,8,
35.18959,129.07403,primary,16,10,
35.19161,129.08025,secondary,10,4,
35.16196,129.11408,secondary,22,3,
35.15871,129.12102,secondary,22,4,50
35.14348,128.98801,secondary,24,,
35.25101,129.21709,primary,19,3,
35.24821,129.21388,primary,19,4,
35.8657,128.59217,secondary,18,6,70
35.86884,128.59696,residential,8,,
35.87683,128.62714,secondary,21,6,
35.8803,128.62694,secondary,30,6,
35.84019,128.57996,secondary,5,6,
35.85237,128.58251,secondary,16,2,
